AoA,CL_PM,CL_CFD,CD_PM,CD_CFD,CM_PM,CM_CFD
-180,-0.216194,-0.163264051191126,-0.004764,0.028031753707989,0.122596,0.041906464793
-175,0.080178,,-0.000644,,0.056707,
-170,0.373589,,-0.013977,,-0.00848,
-165,0.657365,,-0.043457,,-0.070986,
-160,0.925374,-0.784419442773726,-0.086548,0.272956793537632,-0.12891,0.589043
-155,1.172332,,-0.139662,,-0.180494,
-150,1.394073,,-0.198403,,-0.22417,
-145,1.587734,,-0.257882,,-0.25861,
-140,1.751854,-0.796334693159671,-0.313045,0.724155192444194,-0.282768,0.689187
-135,1.886388,,-0.359035,,-0.29591,
-130,1.992624,,-0.391528,,-0.297637,
-125,2.073013,,-0.407033,,-0.287897,
-120,2.130934,-0.558896779725455,-0.403146,1.08652410189503,-0.266985,0.71619
-115,2.170391,,-0.37872,,-0.235537,
-110,2.195683,,-0.333955,,-0.194507,
-105,2.211054,,-0.270394,,-0.145144,
-100,2.220364,-0.183235983726264,-0.190833,1.33757522342032,-0.088947,0.71768140652
-95,2.226782,,-0.09914,,-0.027623,
-90,2.232548,0.053577314451836,0.0,1.34761046740587,0.036965,0.69936896887
-85,2.238794,,0.101386,,0.102853,
-80,2.245458,0.288218043170368,0.199648,1.32556364206726,0.168041,0.66991068114
-75,2.251286,,0.2896,,0.230546,
-70,2.253923,,0.366583,,0.288471,
-65,2.250087,,0.426768,,0.340055,
-60,2.235818,0.676814942795651,0.467411,1.11224327302946,0.38373,0.589511
-55,2.20678,,0.487026,,0.41817,
-50,2.158594,,0.485477,,0.442329,
-45,2.087189,,0.463979,,0.455471,
-40,1.989134,0.930968129690676,0.425009,0.741697269325825,0.457198,0.491803
-35,1.861934,,0.372123,,0.447458,
-30,1.704268,,0.309713,,0.426546,
-25,1.516161,1.29857436802308,0.242701,0.357763983759593,0.395097,0.42800630867
-20,1.299058,1.28698639250059,0.176193,0.253165702522095,0.354068,0.395364
-15,1.055815,,0.115135,,0.304705,
-10,0.790594,,0.063966,,0.248507,
-5,0.508676,,0.026318,,0.187183,
0,0.216194,0.194123488229232,0.004764,0.024604477414964,0.122596,0.11788889956
5,-0.080178,,0.000644,,0.056707,
10,-0.373589,,0.013977,,-0.00848,
15,-0.657365,,0.043457,,-0.070986,
20,-0.925374,-0.612899744684578,0.086548,0.260216090006384,-0.12891,-0.19237209186
25,-1.172332,,0.139662,,-0.180494,
30,-1.394073,,0.198403,,-0.22417,
35,-1.587734,,0.257882,,-0.25861,
40,-1.751854,-0.738773615530142,0.313045,0.697559827342236,-0.282768,-0.389936
45,-1.886388,,0.359035,,-0.29591,
50,-1.992624,,0.391528,,-0.297637,
55,-2.073013,,0.407033,,-0.287897,
60,-2.130934,-0.58962679212125,0.403146,1.04003247289077,-0.266985,-0.5263149998
65,-2.170391,,0.37872,,-0.235537,
70,-2.195683,,0.333955,,-0.194507,
75,-2.211054,,0.270394,,-0.145144,
80,-2.220364,-0.274443847746735,0.190833,1.22333870396705,-0.088947,-0.6239547227
85,-2.226782,,0.09914,,-0.027623,
90,-2.232548,,0.0,,0.036965,
95,-2.238794,,-0.101386,,0.102853,
100,-2.245458,0.076603600481334,-0.199648,1.19687165264894,0.168041,-0.67661117026
105,-2.251286,,-0.2896,,0.230546,
110,-2.253923,,-0.366583,,0.288471,
115,-2.250087,,-0.426768,,0.340055,
120,-2.235818,0.3748563500955,-0.467411,0.984222670503225,0.38373,-0.669768999999
125,-2.20678,,-0.487026,,0.41817,
130,-2.158594,,-0.485477,,0.442329,
135,-2.087189,,-0.463979,,0.455471,
140,-1.989134,0.495165514457691,-0.425009,0.63641554044725,0.457198,-0.595873
145,-1.861934,,-0.372123,,0.447458,
150,-1.704268,,-0.309713,,0.426546,
155,-1.516161,,-0.242701,,0.395097,
160,-1.299058,0.436005193253054,-0.176193,0.263986109706388,0.354068,-0.446449
165,-1.055815,,-0.115135,,0.304705,
170,-0.790594,,-0.063966,,0.248507,
175,-0.508676,,-0.026318,,0.187183,
180,-0.216194,-0.163264051191126,-0.004764,0.028031753707989,0.122596,0.041906464793
