AoA,CL_PM,CL_VLM,CL_CFD,CD_PM,CD_VLM,CD_CFD,CM_PM,CM_VLM,CM_CFD
-180,-0.216194,-0.200277,-0.1637122,-0.004764,-0.004086,0.027612769,0.122596,0.125512,0.04213984
-175,0.080178,0.083858,-0.417426,-0.000644,-0.000707,0.045668,0.056707,0.060713,0.245733
-170,0.373589,0.365128,-0.637113,-0.013977,-0.013325,0.09 ,-0.00848,-0.003156,0.43536
-165,0.657365,0.637328,-0.706311,-0.043457,-0.040722,0.154691,-0.070986,-0.064154,0.544064
-160,0.925374,0.894747,-0.780842,-0.086548,-0.080555,0.271799,-0.12891,-0.120429,0.588089
-155,1.172332,1.132468,-0.816624,-0.139662,-0.129516,0.388093,-0.180494,-0.17027,0.620378
-150,1.394073,1.346598,-0.829555,-0.198403,-0.183565,0.507239,-0.22417,-0.212163,0.648106
-145,1.587734,1.534445,-0.824663,-0.257882,-0.238208,0.62025,-0.25861,-0.244835,0.672378
-140,1.751854,1.694613,-0.796621,-0.313045,-0.288812,0.724137,-0.282768,-0.267293,0.689029
-135,1.886388,1.827002,-0.734634501,-0.359035,-0.330926,0.824482018,-0.29591,-0.278855,0.728055209
-130,1.992624,1.932741,-0.711902555,-0.391528,-0.360592,0.94089654,-0.297637,-0.27917,0.726643035
-125,2.073013,2.01403,-0.650276243,-0.407033,-0.374624,1.019437584,-0.287897,-0.268227,0.716506794
-120,2.130934,2.073917,-0.545766593,-0.403146,-0.370832,1.073774603,-0.266985,-0.24636,0.715469053
-115,2.170391,2.116029,-0.467640505,-0.37872,-0.348186,1.15173115,-0.235537,-0.214233,0.717177665
-110,2.195683,2.144264,-0.39125357,-0.333955,-0.306886,1.22597342,-0.194507,-0.172822,0.713072341
-105,2.211054,2.162471,-0.254912983,-0.270394,-0.24837,1.247925054,-0.145144,-0.123385,0.715745869
-100,2.220364,2.17415,-0.190459159,-0.190833,-0.175219,1.310781149,-0.088947,-0.067425,0.717658808
-95,2.226782,2.182172,-0.064519728,-0.09914,-0.090992,1.326108363,-0.027623,-0.006642,0.713387317
-90,2.232548,2.188558,0.036246262,0,0,1.34626942,0.036965,0.057118,0.704050961
-85,2.238794,2.194322,0.175187354,0.101386,0.092984,1.332774292,0.102853,0.121917,0.686037434
-80,2.245458,2.199387,0.275481707,0.199648,0.183033,1.306139192,0.168041,0.185786,0.669905164
-75,2.251286,2.202596,0.364666482,0.2896,0.265398,1.268792677,0.230546,0.246785,0.649855265
-70,2.253923,2.201786,0.49 ,0.366583,0.335813,1.229341,0.288471,0.30306,0.630404
-65,2.250087,2.193961,0.58 ,0.426768,0.390783,1.173884,0.340055,0.352901,0.610852
-60,2.235818,2.175512,0.67 ,0.467411,0.427806,1.10538,0.38373,0.394794,0.58972
-55,2.20678,2.142497,0.777712265,0.487026,0.445541,1.050791456,0.41817,0.427466,0.571606163
-50,2.158594,2.090951,0.858170317,0.485477,0.443882,0.980997049,0.442329,0.449924,0.560101993
-45,2.087189,2.017198,0.87 ,0.463979,0.423964,0.85237852,0.455471,0.461486,0.53 
-40,1.989134,1.918164,0.93 ,0.425009,0.388074,0.740727,0.457198,0.4618,0.492277
-35,1.861934,1.791643,0.99 ,0.372123,0.339489,0.616573,0.447458,0.450858,0.466266
-30,1.704268,1.636513,1.13 ,0.309713,0.282247,0.489128,0.426546,0.428991,0.451396
-25,1.516161,1.452896,1.35 ,0.242701,0.220866,0.352142,0.395097,0.396864,0.429616
-20,1.299058,1.242219,1.29 ,0.176193,0.16003,0.253322,0.354068,0.355453,0.396267
-15,1.055815,1.007206,1.06 ,0.115135,0.104268,0.164106,0.304705,0.306016,0.336826
-10,0.790594,0.751783,0.78 ,0.063966,0.057643,0.0935,0.248507,0.250056,0.265017
-5,0.508676,0.480896,0.49 ,0.026318,0.023468,0.046603,0.187183,0.189272,0.190471
0,0.216194,0.200277,0.19467874,0.004764,0.004086,0.024307003,0.122596,0.125512,0.1181295
5,-0.080178,-0.083858,-0.086087,0.000644,0.000707,0.027171,0.056707,0.060713,0.051369
10,-0.373589,-0.365128,-0.350659,0.013977,0.013325,0.055881,-0.00848,-0.003156,-0.012087
15,-0.657365,-0.637328,-0.568139,0.043457,0.040722,0.110587,-0.070986,-0.064154,-0.072999
20,-0.925374,-0.894747,-0.616166,0.086548,0.080555,0.259066,-0.12891,-0.120429,-0.19256
25,-1.172332,-1.132468,-0.683071,0.139662,0.129516,0.372976,-0.180494,-0.17027,-0.255679
30,-1.394073,-1.346598,-0.730779,0.198403,0.183565,0.489971,-0.22417,-0.212163,-0.313637
35,-1.587734,-1.534445,-0.747055,0.257882,0.238208,0.598797,-0.25861,-0.244835,-0.356733
40,-1.751854,-1.694613,-0.738723,0.313045,0.288812,0.69609,-0.282768,-0.267293,-0.390221
45,-1.886388,-1.827002,-0.71533943,0.359035,0.330926,0.79389,-0.29591,-0.278855,-0.43404085
50,-1.992624,-1.932741,-0.691081,0.391528,0.360592,0.89045236,-0.297637,-0.27917,-0.47211593
55,-2.073013,-2.01403,-0.66873519,0.407033,0.374624,0.9881145,-0.287897,-0.268227,
60,-2.130934,-2.073917,-0.592632,0.403146,0.370832,1.041455,-0.266985,-0.24636,-0.526655
65,-2.170391,-2.116029,-0.524057,0.37872,0.348186,1.104798,-0.235537,-0.214233,-0.556292
70,-2.195683,-2.144264,-0.448121,0.333955,0.306886,1.157897,-0.194507,-0.172822,-0.582623
75,-2.211054,-2.162471,-0.363944,0.270394,0.24837,1.196278,-0.145144,-0.123385,-0.60507
80,-2.220364,-2.17415,-0.27569,0.190833,0.175219,1.222314,-0.088947,-0.067425,-0.624094
85,-2.226782,-2.182172,-0.183976,0.09914,0.090992,1.234352,-0.027623,-0.006642,-0.640137
90,-2.232548,-2.188558,-0.091881467,0,0,1.2358992,0.036965,0.057118,-0.65490783
95,-2.238794,-2.194322,-0.000965826,-0.101386,-0.092984,1.221943038,0.102853,0.121917,
100,-2.245458,-2.199387,0.09172414,-0.199648,-0.183033,1.19208157,0.168041,0.185786,-6.75E-01
105,-2.251286,-2.202596,0.156596739,-0.2896,-0.265398,1.147195052,0.230546,0.246785,-6.80E-01
110,-2.253923,-2.201786,0.246637781,-0.366583,-0.335813,1.113988585,0.288471,0.30306,-0.678752292
115,-2.250087,-2.193961,0.311623419,-0.426768,-0.390783,1.049642299,0.340055,0.352901,-0.675854
120,-2.235818,-2.175512,0.372881067,-0.467411,-0.427806,0.983071398,0.38373,0.394794,-0.669527
125,-2.20678,-2.142497,0.434115693,-0.487026,-0.445541,0.920211653,0.41817,0.427466,-0.660326538
