Name,Country,First_flight,Propulsion,Engines,MTOW_kg,Empty_kg,Wingspan_m,WingArea_m2,Length_m,Power_kW,Thrust_kN,MaxSpeed_kmh,Ceiling_m,Range_km
Messerschmitt Bf 109G-6,Germany,1935,piston,1,3400,2700,9.92,16.05,9.02,1085,,640,12000,850
Supermarine Spitfire Mk IX,UK,1936,piston,1,4310,2545,11.23,22.48,9.47,1160,,655,13100,700
Hawker Hurricane Mk II,UK,1935,piston,1,3950,2605,12.19,23.92,9.84,1085,,550,11000,970
North American P-51D Mustang,USA,1940,piston,1,5490,3465,11.28,21.83,9.83,1111,,703,12800,1650
Republic P-47D Thunderbolt,USA,1941,piston,1,7900,4536,12.42,27.87,11.00,1890,,690,13100,1290
Lockheed P-38L Lightning,USA,1939,piston,2,9800,5800,15.85,30.43,11.53,2240,,667,13400,1770
Focke-Wulf Fw 190A-8,Germany,1939,piston,1,4900,3200,10.51,18.30,9.00,1250,,656,11400,800
Mitsubishi A6M5 Zero,Japan,1939,piston,1,2950,1876,11.00,21.30,9.12,843,,565,11740,1920
Nakajima Ki-84 Hayate,Japan,1943,piston,1,4170,2660,11.24,21.00,9.92,1522,,631,11400,1695
Yakovlev Yak-3,USSR,1943,piston,1,2700,2105,9.20,14.85,8.50,970,,655,10700,650
Lavochkin La-5FN,USSR,1942,piston,1,3400,2605,9.80,17.50,8.67,1380,,650,11000,765
Vought F4U-4 Corsair,USA,1940,piston,1,6650,4175,12.50,29.17,10.26,1770,,718,12650,1620
Grumman F6F-5 Hellcat,USA,1942,piston,1,6990,4190,13.06,31.00,10.24,1490,,610,11370,1520
Hawker Tempest V,UK,1942,piston,1,6190,4082,12.50,28.10,10.26,1625,,700,11100,1190
Embraer EMB-314 Super Tucano,Brazil,1999,turboprop,1,5200,3020,11.14,19.40,11.38,1193,,590,10670,1330
Pilatus PC-21,Switzerland,2002,turboprop,1,3100,2270,9.11,15.22,11.22,1195,,685,11580,1333
FMA IA 58 Pucara,Argentina,1969,turboprop,2,6800,4020,14.50,30.30,14.25,1458,,500,10000,1500
North American OV-10A Bronco,USA,1965,turboprop,2,6552,3127,12.19,27.03,12.67,1066,,452,7315,927
Messerschmitt Me 262A,Germany,1942,jet,2,7130,3795,12.51,21.70,10.60,,17.6,900,11450,1050
Gloster Meteor F.8,UK,1943,jet,2,7121,4846,11.32,32.50,13.59,,32.0,965,13100,965
North American F-86F Sabre,USA,1947,jet,1,9350,5046,11.30,26.75,11.44,,26.3,1106,15100,1600
Mikoyan-Gurevich MiG-15bis,USSR,1947,jet,1,6045,3681,10.08,20.60,10.10,,26.5,1075,15500,1240
Mikoyan-Gurevich MiG-17F,USSR,1950,jet,1,6069,3919,9.63,22.60,11.09,,33.1,1145,16600,1160
Hawker Hunter F.6,UK,1951,jet,1,8050,6405,10.26,32.42,13.98,,45.1,1150,15240,1900
North American F-100D Super Sabre,USA,1953,jet,1,15800,9525,11.82,35.77,14.36,,76.3,1390,15000,3210
Lockheed F-104G Starfighter,USA,1954,jet,1,13170,6350,6.36,18.22,16.66,,79.6,2125,15240,2620
Saab J 35F Draken,Sweden,1955,jet,1,12270,8250,9.42,49.20,15.35,,78.4,2150,20000,2750
Dassault Mirage IIIE,France,1956,jet,1,13700,7050,8.22,35.00,15.03,,60.8,2350,17000,2400
Mikoyan-Gurevich MiG-21bis,USSR,1956,jet,1,10400,5460,7.15,23.00,14.70,,69.6,2175,17800,1210
English Electric Lightning F.6,UK,1957,jet,2,20752,14092,10.62,44.08,16.84,,145.6,2100,18000,1370
McDonnell Douglas F-4E Phantom II,USA,1958,jet,2,28030,13757,11.77,49.24,19.20,,159.2,2370,18300,2600
Mikoyan-Gurevich MiG-25P,USSR,1964,jet,2,36720,20000,14.02,61.40,19.75,,219.6,3000,20700,1730
Saab AJ 37 Viggen,Sweden,1967,jet,1,20000,12250,10.60,46.00,16.40,,125.0,2230,18000,2000
