Company,Helicopter,MTOW,Disc Loading,Cruising speed,Data Source,Type
Aero Eli Serviza,Aero Eli Serviza Yo-Yo 222,495,10.74,172.0,Jane,Ultra-light/Very Light
Aerokopter,Aerokopter AK1-3 Sanka,650,17.69,120.0,Jane,Ultra-light/Very Light
Airbus Helicopters,H215/AS 532,9000,47.09,257.0,Jane,Medium
Airbus Helicopters,AS 332L1 Super Puma MKI,8600,41.72,261.0,Jane,Medium
Airbus Helicopters,H175,7800,45.34,278.0,Jane,Medium
Airbus Helicopters,Tiger HAD,6600,49.72,271.0,Jane,Medium
Airbus Helicopters,H155/EC 155,4920,39.46,270.0,Jane,Medium
Airbus Helicopters,Eurocopter Panther/AS565,4500,40.19,278.0,Jane,Medium
Airbus Helicopters,AS 365 Dauphin 2,4300,38.4,260.0,Jane,Medium
Airbus Helicopters,H145/EC 145,3585,37.72,246.0,Jane,Medium
Airbus Helicopters,H135/EC 135,2980,35.08,254.0,Jane,Intermediate
Airbus Helicopters,AS355F2 Écureuil 2/AS 555 Fennec,2600,28.97,222.0,Jane,Intermediate
Airbus Helicopters,H130/EC 130,2500,27.85,237.0,Jane,Intermediate
Airbus Helicopters,H125 Ecureuil/Fennec,2250,25.07,256.0,Jane,Intermediate
Airbus Helicopters,H120 Colibri,1715,21.84,191.0,Jane,Intermediate
Airbus Helicopters,H225M/EC 225,11000,53.37,296.0,Jane,Medium
Airbus Helicopters,Airbus Helicopters X6,700,17.19,220.0,Jane,Ultra-light/Very Light
Bell Helicopter Textron,Bell AH-1Z/Viper449 SuperCobra,8391,49.92,254.0,Jane,Medium
Bell Helicopter Textron,Bell UH-1Y,8391,49.92,284.0,Jane,Medium
Boeing,Boeing AH-64D Apache,10433,62.06,265.0,Jane,Medium
Dragon Fly Helicopters,DF334,600,17.02,169.0,Jane,Ultra-light/Very Light
Egicopter,Egicopter MG-01,550,14.54,130.0,Jane,Ultra-light/Very Light
Enstrom,Enstrom 480/TH-28,1361,18.23,202.0,Jane,Light
Enstrom,Enstrom F-28F/280FX,1179,15.79,165.0,Jane,Light
Famà,KISS 261M/E,700,15.03,185.0,Jane,Ultra-light/Very Light
Heli-Sport,Heli-Sport CH77 Ranabot,500,16.14,159.0,Jane,Ultra-light/Very Light
Hélicoptères Guimbal,Guimbal Cabri G2,700,4.3,145.0,Jane,Ultra-light/Very Light
Kazan Helicopter Plant,Kazan Ansat,3600,34.66,240.0,Jane,Medium
Konner Srl,Konner K1,450,12.39,220.0,Jane,Ultra-light/Very Light
Leonardo,Leonardo AW101C,14600,53.79,278.0,Jane,Medium
Leonardo,Leonardo AW149,8600,51.37,278.0,Jane,Medium
Leonardo,Leonardo AW189,8300,49.58,278.0,Jane,Medium
Leonardo,Leonardo AW139,6400,42.79,306.0,Jane,Medium
Leonardo,Leonardo AW169,4800,35.1,278.0,Jane,Medium
Leonardo,Leonardo AW109SP GrandNew,3175,34.47,287.0,Jane,Intermediate
Leonardo,Leonardo AW109,2850,29.99,280.0,Jane,Intermediate
Leonardo,Leonardo AW119 Koala Ke,2850,30.94,237.0,Jane,Intermediate
Leonardo,Leonardo AW09,2650,28.09,259.0,Jane,Intermediate
Marenco Swisshelicopter,SKYe SH09,2650,27.88,259.0,Jane,Intermediate
MD Helicopters,MD 6XX,2495,45.24,259.0,Jane,Intermediate
MD Helicopters,MD 530F,1406,25.8,243.0,Jane,Light
MD Helicopters,MD 500E,1361,26.74,239.0,Jane,Light
Mil Helicopters,Mil Mi-38,15600,44.61,285.0,Jane,Medium
Mil Helicopters,Mil Mi-8,13000,36.52,240.0,Jane,Medium
Mil Helicopters,Mil Mi-171A2,13000,36.52,260.0,Jane,Medium
Mil Helicopters,Mil Mi-28N,11500,49.49,269.0,Jane,Medium
Mil Helicopters,Mil Mi 35P,11200,47.65,319.0,Jane,Medium
Mil Helicopters,Mil Mi 35M,10900,46.91,300.0,Jane,Medium
PZL,PZL W-3 Sokół,6400,33.06,222.0,Jane,Medium
PZL,PZL SW-4,1800,28.29,206.0,Jane,Intermediate
Robinson Helicopter,Robinson R66,1225,15.41,226.0,Jane,Light
Robinson Helicopter,Robinson R44 Raven II,1134,14.27,217.0,Jane,Light
Robinson Helicopter,Robinson R44 Raven I,1089,13.7,209.0,Jane,Light
Robinson Helicopter,Robinson R22 Beta II,621,13.44,178.0,Jane,Ultra-light/Very Light
RotorWay International,RotorWay RW7,726,15.92,174.0,Jane,Ultra-light/Very Light
RotorWay International,RotorWay A600 Talon,680,14.91,161.0,Jane,Ultra-light/Very Light
Sikorsky Aircraft Corporation,Sikorsky S-92,12565,54.27,280.0,Jane,Medium
Sikorsky Aircraft Corporation,Sikorsky UH-60 Black Hawk,10659,49.49,272.0,Jane,Medium
Sikorsky Aircraft Corporation,Sikorsky S-76D,5386,37.91,287.0,Jane,Medium
Skyline,SL-231 Scout,882,16.87,187.0,Jane,Light
Turkish Aerospace Industries,TAI T-625,6050,30.59,278.0,Jane,Medium
Turkish Aerospace Industries,T129,5000,44.96,268.0,Jane,Medium
Vertical Aviation Technologies,300L Hummingbird,1270,15.98,161.0,Jane,Light
Aero,Aero HC-2 Heli Baby,680,11.18,100.0,Open Source,Ultra-light/Very Light
Aerotécnica,Aerotécnica AC-14,1350,18.46,150.0,Open Source,Light
