Company,Helicopter,MTOW (kg),Main rotor radius (m),Disc loading (kg/m2),Cruising speed (km/h),Cruise speed type,Tail No. Blades,Position of Tail rotor (look from the back),Data Source
Aero Eli Serviza,Aero Eli Serviza Yo-Yo 222,495,3.83,10.74,172,Normal/Econ,2,left,Jane
Aerokopter,Aerokopter AK1-3 Sanka,650,3.42,17.69,120,Normal/Econ,2,right,Jane
Airbus Helicopters,H215/AS 532,9000,7.8,47.09,257,Normal/Econ,5,right,Jane
Airbus Helicopters,AS 332L1 Super Puma MKI,8600,8.1,41.72,261,Normal/Econ,5,left,Jane
Airbus Helicopters,H175,7800,7.4,45.34,278,Normal/Econ,3,left,Jane
Airbus Helicopters,Tiger HAD,6600,6.5,49.72,271,Normal/Econ,3,right,Jane
Airbus Helicopters,H155/EC 155,4920,6.3,39.46,270,Normal/Econ,8,fenestron,Jane
Airbus Helicopters,Eurocopter Panther/AS565,4500,5.97,40.19,278,Normal/Econ,11,fenestron,Jane
Airbus Helicopters,AS 365 Dauphin 2,4300,5.97,38.4,260,Normal/Econ,11,fenestron,Jane
Airbus Helicopters,H145/EC 145,3585,5.5,37.72,246,Normal/Econ,10,fenestron,Jane
Airbus Helicopters,H135/EC 135,2980,5.2,35.08,254,Normal/Econ,8,fenestron,Jane
Airbus Helicopters,AS355F2 Écureuil 2/AS 555 Fennec,2600,5.345,28.97,222,Normal/Econ,2,right,Jane
Airbus Helicopters,H130/EC 130,2500,5.345,27.85,237,Normal/Econ,8,fenestron,Jane
Airbus Helicopters,H125 Ecureuil/Fennec,2250,5.345,25.07,256,Normal/Econ,2,right,Jane
Airbus Helicopters,H120 Colibri,1715,5,21.84,191,Normal/Econ,8,fenestron,Jane
Airbus Helicopters,H225M/EC 225,11000,8.1,53.37,296,Normal/Econ,4,right,Jane
Airbus Helicopters,Airbus Helicopters X6,700,Z3.6,17.19,220,Normal/Econ,7,fenestron,Jane
Alpiaviation,Syton AH 130,450,3.815,9.84,191,Max,2,right,Jane
Bell Helicopter Textron,Bell 525,9299,8.305,42.91,300,Max,4,right,Jane
Bell Helicopter Textron,Bell AH-1Z/Viper449 SuperCobra,8391,7.315,49.92,254,Normal/Econ,4,left,Jane
Bell Helicopter Textron,Bell UH-1Y,8391,7.315,49.92,284,Normal/Econ,4,left,Jane
Boeing,Boeing AH-64D Apache,10433,7.315,62.06,265,Normal/Econ,4,left,Jane
Dragon Fly Helicopters,DF334,600,3.35,17.02,169,Normal/Econ,2,right,Jane
Eagle,Helicycle,386,3.175,12.19,154,Max,2,left,Jane
Egicopter,Egicopter MG-01,550,3.47,14.54,130,Normal/Econ,2,right,Jane
Enstrom,Enstrom 480/TH-28,1361,4.875,18.23,202,Normal/Econ,2,left,Jane
Enstrom,Enstrom F-28F/280FX,1179,4.875,15.79,165,Normal/Econ,2,right,Jane
Famà,KISS 261M/E,700,3.85,15.03,185,Normal/Econ,2,right,Jane
Heli-Sport,Heli-Sport CH-7 Angel,450,3.14,14.53,159,Max,2,left,Jane
Heli-Sport,Heli-Sport CH77 Ranabot,500,3.14,16.14,159,Normal/Econ,2,left,Jane
Hélicoptères Guimbal,Guimbal Cabri G2,700,7.2,4.3,145,Normal/Econ,7,fenestron,Jane
HeliWhale,Aafalina,500,3.5,6.5,200,Normal/Econ,0,coaxial,Jane
IHSRC,Saba-248,1337,5.625,13.45,180,Max,2,left,Jane
Kaman Aircraft,Kaman K1200 K-Max,2948,7.365,16,148,Max,0,Intermeshing,Jane
Kamov,Kamov Ka-27/28/29/32,11000,7.95,27.7,230,Max,0,coaxial,Jane
Kamov,Kamov Ka-52,12200,7.25,36.94,250,Normal/Econ,0,coaxial,Jane
Kamov,Kamov Ka-50,10800,7.25,32.7,270,Normal/Econ,0,coaxial,Jane
Kamov,Kamov Ka-62,6500,6.9,21.73,291,Normal/Econ,0,coaxial,Jane
Kamov,Kamov Ka-226T,3600,7.5,10.19,220,Normal/Econ,0,coaxial,Jane
Kazan Helicopter Plant,Kazan Ansat,3600,5.75,34.66,240,Normal/Econ,2,right,Jane
Konner Srl,Konner K2,1000,3.85,21.47,241,Max,2,right,Jane
Konner Srl,Konner Coaxial,1300,3.6,15.96,250,Max,0,coaxial,Jane
Konner Srl,Konner K1,450,3.4,12.39,220,Normal/Econ,2,right,Jane
LCA,LH 212 Delta,540,3.375,15.09,167,Max,2,right,Jane
Leonardo,Leonardo AW159,6000,6.4,46.63,264,Max,4,left,Jane
Leonardo,Leonardo AW101C,14600,9.295,53.79,278,Normal/Econ,,left,Jane
Leonardo,Leonardo AW149,8600,7.3,51.37,278,Normal/Econ,4,right,Jane
Leonardo,Leonardo AW189,8300,7.3,49.58,278,Normal/Econ,4,right,Jane
Leonardo,Leonardo AW139,6400,6.9,42.79,306,Normal/Econ,4,right,Jane
Leonardo,Leonardo AW169,4800,6.06,35.1,278,Normal/Econ,3,right,Jane
Leonardo,Leonardo AW109SP GrandNew,3175,5.415,34.47,287,Normal/Econ,2,left,Jane
Leonardo,Leonardo AW109,2850,5.5,29.99,280,Normal/Econ,2,left,Jane
Leonardo,Leonardo AW119 Koala Ke,2850,5.415,30.94,237,Normal/Econ,2,left,Jane
Leonardo,Leonardo AW09,2650,5.48,28.09,259,Normal/Econ,10,fenestron,Jane
Marenco Swisshelicopter,SKYe SH09,2650,5.5,27.88,259,Normal/Econ,10,fenestron,Jane
MD Helicopters,MD 520N,1520,4.165,27.89,228,Max,0,notar,Jane
MD Helicopters,MD 600N Notar,1860,4.19,33.72,248,Max,0,notar,Jane
MD Helicopters,MD Explorer,3071,5.155,36.79,185,Max,0,notar,Jane
MD Helicopters,MD 6XX,2495,4.19,45.24,259,Normal/Econ,4,left,Jane
MD Helicopters,MD 530F,1406,4.165,25.8,243,Normal/Econ,2,left,Jane
MD Helicopters,MD 500E,1361,4.025,26.74,239,Normal/Econ,2,left,Jane
Mil Helicopters,Mil Mi-26,56000,16,69.63,244,Normal/Econ,5,right,Jane
Mil Helicopters,Mil Mi-38,15600,10.55,44.61,285,Normal/Econ,4,right,Jane
Mil Helicopters,Mil Mi-8,13000,10.645,36.52,240,Normal/Econ,3,right,Jane
Mil Helicopters,Mil Mi-171A2,13000,10.645,36.52,260,Normal/Econ,3,right,Jane
Mil Helicopters,Mil Mi-28N,11500,8.6,49.49,269,Normal/Econ,4,right,Jane
Mil Helicopters,Mil Mi 35P,11200,8.65,47.65,319,Normal/Econ,3,left,Jane
